Name,Calories,Protein,Carbs,Fat
"Soy flour, full-fat, roasted",441.0,34.8,33.67,21.86
"Pie, coconut custard, commercially prepared",260.0,5.9,30.2,13.2
"Fish, tilapia, raw",96.0,20.08,0.0,1.7
"Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",368.0,8.97,75.7,4.85
"Cornmeal, degermed, enriched, yellow",370.0,7.11,79.45,1.75
"Ice creams, vanilla",207.0,3.5,23.6,11.0
"Frozen novelties, ice type, pop",79.0,0.0,19.23,0.24
"Butter, without salt",717.0,0.85,0.06,81.11
"Figs, canned, light syrup pack, solids and liquids",69.0,0.39,17.95,0.1
"Dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice",29.0,2.19,4.51,0.23
"Seaweed, agar, dried",306.0,6.21,80.88,0.3
"Sweet potato, canned, syrup pack, drained solids",108.0,1.28,25.36,0.32
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",45.0,0.4,11.63,0.07
"Peppers, hot chile, sun-dried",324.0,10.58,69.86,5.81
"Restaurant, Chinese, chicken and vegetables",95.0,8.18,5.38,4.56
"Fast foods, english muffin, with cheese and sausage",338.0,13.28,25.28,20.67
"Lamb, variety meats and by-products, spleen, cooked, braised",156.0,26.46,0.0,4.77
"Snacks, CLIF BAR, mixed flavors",346.0,14.71,65.44,5.88
"Fish, surimi",99.0,15.18,6.85,0.9
"Peanuts, virginia, oil-roasted, without salt",578.0,25.87,19.86,48.62
"Cheesefurter, cheese smokie, pork, beef",328.0,14.1,1.51,29.0
"Chicken, roasting, meat and skin, cooked, roasted",223.0,23.97,0.0,13.39
"Cranberry sauce, canned, sweetened",151.0,0.2,38.9,0.15
"Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, cooked",271.0,25.51,0.0,18.01
"Babyfood, cereal, oatmeal, with bananas, dry",393.0,12.0,73.4,6.0
"Game meat, deer, shoulder clod, separable lean only, 3-5 lb roast, cooked, braised",191.0,36.28,0.0,3.95
"Restaurant, family style, fried mozzarella sticks",325.0,14.75,25.14,18.33
"Infant formula, MEAD JOHNSON, PREGESTIMIL, with iron, powder, not reconstituted",519.0,14.0,52.8,28.0
"Cereals, oats, instant, fortified, with raisins and spice, dry",360.0,8.45,76.33,4.03
"Salmon, sockeye, canned, total can contents",153.0,20.63,0.0,7.17
"Veal, shoulder, blade, separable lean only, cooked, roasted",171.0,25.64,0.0,6.88
"Water, bottled, non-carbonated, DANNON Fluoride To Go",0.0,0.0,0.03,0.0
"Lasagna, cheese, frozen, unprepared",145.0,5.06,21.61,4.22
"KEEBLER, READY CRUST, Shortbread Pie Crust",502.0,4.4,69.1,23.1
"Fish, tuna, light, canned in water, drained solids",86.0,19.44,0.0,0.96
"Sauce, cheese, ready-to-serve",174.0,6.71,6.83,13.29
"Caribou, eye, raw (Alaska Native)",326.0,10.8,0.0,31.4
"Restaurant, Chinese, vegetable lo mein, without meat",121.0,4.77,20.16,2.35
"Corn, sweet, yellow, frozen, kernels on cob, unprepared",98.0,3.28,23.5,0.78
"Rice, white, glutinous, cooked",97.0,2.02,21.09,0.19
"Beverages, Cocoa mix, low calorie, powder, with added calcium, phosphorus, aspartame, without added sodium or vitamin A",359.0,25.1,58.0,3.0
"Game meat, bison, separable lean only, raw",109.0,21.62,0.0,1.84
"Biscuits, plain or buttermilk, dry mix, prepared",335.0,7.3,48.4,12.1
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, cooked",238.0,26.36,0.0,13.89
"Blueberries, frozen, unsweetened",51.0,0.42,12.17,0.64
"Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",484.0,14.2,44.9,31.9
"Beef, New Zealand, imported, manufacturing beef, raw",119.0,21.23,0.23,3.68
"Malted drink mix, natural, powder, has milk",428.0,14.29,71.21,9.52
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",214.0,19.92,0.0,14.28
"Milk dessert bar, frozen, made from lowfat milk",147.0,4.41,33.09,1.47
"CRACKER BARREL, macaroni n' cheese",194.0,6.49,15.61,11.75
Campbell's Pork and Beans,108.0,4.62,19.23,1.15
"Beef, New Zealand, imported, eye round, separable lean only, raw",116.0,20.15,1.35,3.35
"Sour cream, imitation, cultured",208.0,2.4,6.63,19.52
"Fruit punch-flavor drink, powder, without added sodium, prepared with water",37.0,0.0,9.47,0.01
"Rosemary, fresh",131.0,3.31,20.7,5.86
"SMART SOUP, Santa Fe Corn Chowder",55.0,2.0,11.2,0.71
"Fast foods, oysters, battered or breaded, and fried",265.0,9.02,28.69,12.9
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",227.0,26.18,0.21,13.54
"Potatoes, baked, skin, without salt",198.0,4.29,46.06,0.1
"Cranberry-grape juice drink, bottled",56.0,0.2,14.0,0.1
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",188.0,30.29,0.0,6.55
"Lamb, New Zealand, imported, square-cut shoulder chops, separable lean and fat, cooked, braised",322.0,26.79,0.05,23.86
"Milk, canned, condensed, sweetened",321.0,7.91,54.4,8.7
"Oil, flaxseed, cold pressed",884.0,0.11,0.0,99.98
"Beans, white, mature seeds, raw",333.0,23.36,60.27,0.85
"Vegetables, mixed, frozen, cooked, boiled, drained, with salt",60.0,2.86,13.09,0.15
"CAMPBELL'S CHUNKY Soups, Grilled Chicken & Sausage Gumbo Soup",57.0,2.86,8.57,1.22
"Chicken, broilers or fryers, light meat, meat only, raw",114.0,23.2,0.0,1.65
"Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars",536.0,9.18,54.15,32.67
"Snacks, KELLOGG'S, NUTRI-GRAIN Cereal Bars, fruit",324.0,4.69,69.54,8.76
"Pork, fresh, shoulder, whole, separable lean and fat, raw",236.0,17.18,0.0,17.99
"Chicken, gizzard, all classes, raw",94.0,17.66,0.0,2.06
"DIGIORNO Pizza, cheese topping, rising crust, frozen, baked",256.0,12.8,31.78,8.6
"Pork, fresh, separable fat, cooked",626.0,7.06,0.0,66.1
"KELLOGG'S, EGGO, NUTRI-GRAIN Frozen Fruit Pizza, Strawberry Granola",266.0,6.5,43.7,8.1
"Cream, sour, reduced fat, cultured",135.0,2.94,4.26,12.0
"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted",179.0,27.56,0.0,6.77
"Strawberry-flavor beverage mix, powder",389.0,0.1,99.1,0.2
"Chicken, dark meat, thigh, meat and skin, enhanced, cooked, braised",215.0,20.7,0.21,14.62
"Fast foods, croissant, with egg, cheese, and sausage",308.0,12.09,15.9,21.78
"SMART SOUP, Greek Minestrone",40.0,1.7,8.4,0.53
"Beef, ground, 85% lean meat / 15% fat, loaf, cooked, baked",233.0,25.93,0.0,14.36
"Juice Smoothie, NAKED JUICE, BLUE MACHINE",71.0,0.42,16.67,0.0
"Oil, industrial, soy (partially hydrogenated), principal uses popcorn and flavoring vegetables",884.0,0.0,0.0,100.0
CAMPBELL'S Homestyle Butternut Squash Bisque,45.0,0.41,7.76,1.22
"Tofu, fried, prepared with calcium sulfate",271.0,17.19,10.5,20.18
"PREGO Pasta, Traditional Italian Sauce, ready-to-serve",54.0,1.54,10.0,1.15
"Chiton, leathery, gumboots (Alaska Native)",83.0,17.1,0.0,1.6
"Crackers, saltines, fat-free, low-sodium",393.0,10.5,82.3,1.6
"OSCAR MAYER, Pickle Pimiento Loaf (with chicken)",269.0,9.6,9.1,21.6
"Sauce, pasta, spaghetti/marinara, ready-to-serve",49.0,1.41,7.53,1.48
"Crackers, snack, GOYA CRACKERS",433.0,14.25,64.35,13.35
"Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES",389.0,4.6,87.9,2.7
"Soup, pea, split with ham, canned, chunky, ready-to-serve",77.0,4.62,11.17,1.66
"Soybeans, green, cooked, boiled, drained, with salt",141.0,12.35,11.05,6.4
"Cereals, QUAKER, hominy grits, white, quick, dry",348.0,8.8,79.6,1.2
"Lamb, Australian, imported, fresh, leg, whole (shank and sirloin), separable lean only, trimmed to 1/8"" fat, cooked, roasted",190.0,27.31,0.0,8.1
"Beef, round, bottom round , roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",164.0,28.45,0.0,4.67
"Fast foods, hamburger; single, regular patty; with condiments",263.0,13.3,29.57,10.18
"Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",282.0,15.95,22.99,14.07
"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted",309.0,22.55,0.0,23.59
"Cereals, farina, enriched, cooked with water, with salt",53.0,1.82,10.92,0.34
"Cake, angelfood, commercially prepared",258.0,5.9,57.8,0.8
"Salad dressing, caesar, low calorie",110.0,0.3,18.6,4.4
"Puddings, vanilla, dry mix, instant",377.0,0.0,92.9,0.6
"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH",398.0,4.39,85.51,5.12
"Cookies, chocolate chip, commercially prepared, regular, higher fat, unenriched",481.0,5.4,66.8,22.6
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",244.0,19.23,0.0,17.98
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",280.0,11.5,30.62,12.35
"Peppered loaf, pork, beef",149.0,17.3,4.53,6.37
"Pork, fresh, loin, center loin (chops), boneless, separable lean only, cooked, pan-broiled",162.0,30.02,0.0,4.65
"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",249.0,22.78,0.0,16.82
"Cocktail mix, non-alcoholic, concentrated, frozen",287.0,0.08,71.6,0.01
"Chicken, stewing, meat only, cooked, stewed",237.0,30.42,0.0,11.89
"WORTHINGTON Veja-Links, canned, unprepared",155.0,14.6,4.1,8.9
"Candies, MARS SNACKFOOD US, MILKY WAY Bar",456.0,4.01,71.17,17.23
"Soybeans, mature seeds, sprouted, cooked, steamed, with salt",81.0,8.47,6.53,4.45
"CHICK-FIL-A, hash browns",301.0,3.0,30.51,18.5
"Beef, round, knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",162.0,26.61,0.0,5.32
"Squash, summer, scallop, cooked, boiled, drained, with salt",16.0,1.03,3.3,0.17
